filing_date,quarter,symbol,percentage,value,price_before,price_after,price_change_pct,hld_pct_change
2021-05-17,Q1 2021,AGCB,0.0,20718,,,,
2021-08-16,Q2 2021,AGCB,0.0,20459,,,,-1.250120668018151
2021-11-15,Q3 2021,AGCB,0.0,19740,,,,-3.514345764700133
2022-02-14,Q4 2021,AGCB,0.0,19681,,,,-0.2988855116514699
2022-05-16,Q1 2022,AGCB,0.1,13330,,,,-32.26970174279762
2022-08-15,Q2 2022,AGCB,0.1,13384,,,,0.405101275318831
2022-11-14,Q3 2022,AGCB,0.1,13452,,,,0.5080693365212108
2021-02-16,Q4 2020,AGCUU,0.1,23400,,,,
2021-05-17,Q1 2021,AGCUU,0.1,21996,,,,-6.000000000000005
2021-08-16,Q2 2021,AGCUU,0.0,22140,,,,0.654664484451728
2021-11-15,Q3 2021,AGCUU,0.0,19152,,,,-13.495934959349597
2021-02-16,Q4 2020,AI,0.4,138750,153.72999572753906,140.05999755859375,-8.892212677331441,
2021-05-17,Q1 2021,AI,0.2,65910,51.93999862670898,57.43999862670898,10.589141596880497,-52.497297297297294
2021-08-16,Q2 2021,AI,0.1,62530,49.380001068115234,45.93999862670898,-6.966387944506276,-5.128205128205132
2021-11-15,Q3 2021,AI,0.1,46340,47.27000045776367,48.470001220703125,2.538609586034738,-25.891572045418197
2022-02-14,Q4 2021,AI,0.1,31250,25.0,25.709999084472656,2.839996337890625,-32.56365990504963
2021-02-16,Q4 2020,AJAX/U,0.1,24820,,,,
2021-05-17,Q1 2021,AJAX/U,0.0,21260,,,,-14.343271555197424
2021-08-16,Q2 2021,AJAX/U,0.0,20880,,,,-1.7873941674506066
2024-05-15,Q1 2024,ALAB,0.0,5193,72.31999969482422,73.0,0.9402659126731818,
2024-08-14,Q2 2024,ALAB,0.0,4235,40.400001525878906,43.29999923706055,7.178211885274306,-18.447910648950504
2021-11-15,Q3 2021,ALCC,0.1,39320,,,,
2022-02-14,Q4 2021,ALCC,0.1,39400,,,,0.20345879959309254
2022-05-16,Q1 2022,ALCC,0.1,39040,,,,-0.9137055837563413
2022-08-15,Q2 2022,ALCC,0.3,38600,,,,-1.127049180327866
2022-11-14,Q3 2022,ALCC,0.4,39040,,,,1.1398963730570033
2023-02-14,Q4 2022,ALCC,0.5,39680,,,,1.6393442622950838
2023-05-15,Q1 2023,ALCC,0.4,40600,,,,2.318548387096775
2023-08-14,Q2 2023,ALCC,0.3,41720,,,,2.758620689655178
2023-11-14,Q3 2023,ALCC,0.3,41400,,,,-0.7670182166826467
2024-02-14,Q4 2023,ALCC,0.2,32281,,,,-22.02657004830918
2024-05-15,Q1 2024,ALCC,0.2,34910,,,,8.144109538118393
2024-08-14,Q2 2024,ALCC,0.1,25892,,,,-25.832139788026353
2024-11-14,Q3 2024,ALCC,0.1,24731,,,,-4.484010505175339
2025-02-14,Q4 2024,ALCC,0.2,64899,,,,162.4196352755651
2021-08-16,Q2 2021,ALKT,0.0,5351,30.399999618530277,27.59000015258789,-9.243419411852727,
2021-11-15,Q3 2021,ALKT,0.0,3702,28.149999618530277,29.479999542236328,4.724688958185835,-30.816669781349283
2022-02-14,Q4 2021,ALKT,0.0,3009,15.43000030517578,16.010000228881836,3.758910643128774,-18.719611021069692
2014-02-14,Q4 2013,ALSN,0.2,19548,24.424076080322266,24.868297576904297,1.818785263856621,
2023-05-15,Q1 2023,AMAT,0.5,51527,113.81340026855467,118.5486831665039,4.160567109651255,
2024-08-14,Q2 2024,AMAT,1.0,211258,198.9205780029297,209.8473358154297,5.493025368315123,309.9947600287228
2024-11-14,Q3 2024,AMAT,0.8,180875,181.4261779785156,167.61996459960938,-7.609824300295393,-14.381940565564378
2025-02-14,Q4 2024,AMAT,0.6,145586,183.32525634765625,171.1181640625,-6.658707331632929,-19.510158949550792
2025-05-15,Q1 2025,AMAT,0.5,129911,173.646240234375,165.1005401611328,-4.92132744233784,-10.766831975602054
2014-08-14,Q2 2014,AMBA,0.1,7795,29.670000076293945,29.13999938964844,-1.7863184539354735,
2017-05-15,Q1 2017,AMT,0.7,73532,103.9315185546875,105.78569793701172,1.7840395369077306,
2017-08-14,Q2 2017,AMT,0.7,80054,113.18878936767578,115.68147277832033,2.202235243057018,8.869607789805789
2020-11-16,Q3 2020,AMWL,0.0,11856,476.0,433.2000122070313,-8.991594074153099,
2021-02-16,Q4 2020,AMWL,0.0,10132,655.7999877929688,622.2000122070312,-5.123509638817616,-14.541160593792169
2021-05-17,Q1 2021,AMWL,0.0,6948,234.1999969482422,250.3999938964844,6.917163603474495,-31.425187524674303
2021-08-16,Q2 2021,AMWL,0.0,5032,223.1999969482422,208.8000030517578,-6.45161025688705,-27.576280944156593
2021-11-15,Q3 2021,AMWL,0.0,3644,173.1999969482422,162.1999969482422,-6.35103937287433,-27.583465818759933
2022-02-14,Q4 2021,AMWL,0.0,2416,84.5999984741211,89.19999694824219,5.437350540293711,-33.69923161361142
2014-02-14,Q4 2013,AMZN,4.1,329201,17.860000610351562,17.6825008392334,-0.993839669945398,
2015-08-14,Q2 2015,AMZN,3.3,324265,26.482999801635746,26.76099967956543,1.04972956240598,-1.499387911944372
2015-11-16,Q3 2015,AMZN,20.1,1634767,32.11750030517578,32.165000915527344,0.1478963490315829,404.14537492483
2016-02-16,Q4 2015,AMZN,17.4,2158516,25.35400009155273,26.70499992370605,5.328547082412596,32.03814366206315
2016-05-16,Q1 2016,AMZN,8.9,618715,35.49599838256836,34.76350021362305,-2.063607736992216,-71.33609387190087
